epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.04637,1.10812,0.85714,1,0.49389,0.000410798,0.000410798,0.000410798
2,11.6849,0.47744,0.95918,1,0.12263,0.000786505,0.000786505,0.000786505
3,17.1462,0.34779,0.97959,1,0.07457,0.00112096,0.00112096,0.00112096
4,22.6306,0.31552,1,1,0.02073,0.00106437,0.00106437,0.00106437
5,28.1544,0.23942,1,1,0.0289,0.0010025,0.0010025,0.0010025
6,33.7209,0.25143,0.97959,1,0.04207,0.000940625,0.000940625,0.000940625
7,39.1113,0.21258,0.97959,1,0.04126,0.00087875,0.00087875,0.00087875
8,44.6155,0.23285,0.97959,1,0.0433,0.000816875,0.000816875,0.000816875
9,50.3083,0.18764,1,1,0.02086,0.000755,0.000755,0.000755
10,55.8807,0.17988,1,1,0.01738,0.000693125,0.000693125,0.000693125
11,61.3436,0.14541,1,1,0.01679,0.00063125,0.00063125,0.00063125
12,66.9835,0.15801,1,1,0.00903,0.000569375,0.000569375,0.000569375
13,72.467,0.16271,1,1,0.01453,0.0005075,0.0005075,0.0005075
14,78.068,0.15028,1,1,0.00764,0.000445625,0.000445625,0.000445625
15,83.5481,0.1228,1,1,0.01074,0.00038375,0.00038375,0.00038375
16,88.946,0.15673,1,1,0.00648,0.000321875,0.000321875,0.000321875
17,94.2249,0.1136,1,1,0.00794,0.00026,0.00026,0.00026
18,99.6195,0.12269,1,1,0.00839,0.000198125,0.000198125,0.000198125
19,105.03,0.12326,1,1,0.00245,0.00013625,0.00013625,0.00013625
20,110.28,0.13175,1,1,0.00174,7.4375e-05,7.4375e-05,7.4375e-05
